Day,Time,Classroom,Capacity
Saturday,08:30,10,50
Saturday,09:00,10,50
Saturday,09:30,10,50
Saturday,10:00,10,50
Saturday,10:30,10,50
Saturday,11:00,10,50
Saturday,11:30,10,50
Saturday,12:00,10,50
Saturday,12:30,10,50
Saturday,13:00,10,50
Saturday,13:30,10,50
Saturday,14:00,10,50
Saturday,14:30,10,50
Saturday,15:00,10,50
Saturday,15:30,10,50
Saturday,16:00,10,50
Saturday,16:30,10,50
Saturday,17:00,10,50
Saturday,17:30,10,50
Saturday,18:00,10,50
Saturday,18:30,10,50
Saturday,19:00,10,50
Saturday,19:30,10,50
Saturday,20:00,10,50
Saturday,20:30,10,50
Saturday,21:00,10,50
Saturday,21:30,10,50
Monday,07:00,101,50
Monday,07:30,101,50
Monday,08:00,101,50
Monday,08:30,101,50
Monday,09:00,101,50
Monday,09:30,101,50
Monday,10:00,101,50
Monday,10:30,101,50
Monday,11:00,101,50
Monday,11:30,101,50
Monday,12:00,101,50
Monday,12:30,101,50
Monday,13:00,101,50
Monday,13:30,101,50
Monday,14:00,101,50
Monday,14:30,101,50
Monday,15:00,101,50
Monday,15:30,101,50
Monday,16:00,101,50
Monday,16:30,101,50
Monday,17:00,101,50
Monday,17:30,101,50
Monday,18:00,101,50
Monday,18:30,101,50
Monday,19:00,101,50
Monday,19:30,101,50
Monday,20:00,101,50
Monday,20:30,101,50
Monday,21:00,101,50
Monday,21:30,101,50
Tuesday,07:00,101,50
Tuesday,07:30,101,50
Tuesday,08:00,101,50
Tuesday,08:30,101,50
Tuesday,09:00,101,50
Tuesday,09:30,101,50
Tuesday,10:00,101,50
Tuesday,10:30,101,50
Tuesday,11:00,101,50
Tuesday,11:30,101,50
Tuesday,12:00,101,50
Tuesday,12:30,101,50
Tuesday,13:00,101,50
Tuesday,13:30,101,50
Tuesday,14:00,101,50
Tuesday,14:30,101,50
Tuesday,15:00,101,50
Tuesday,15:30,101,50
Tuesday,16:00,101,50
Tuesday,16:30,101,50
Tuesday,17:00,101,50
Tuesday,17:30,101,50
Tuesday,18:00,101,50
Tuesday,18:30,101,50
Tuesday,19:00,101,50
Tuesday,19:30,101,50
Tuesday,20:00,101,50
Tuesday,20:30,101,50
Tuesday,21:00,101,50
Tuesday,21:30,101,50
Wednesday,07:00,101,50
Wednesday,07:30,101,50
Wednesday,08:00,101,50
Wednesday,08:30,101,50
Wednesday,09:00,101,50
Wednesday,09:30,101,50
Wednesday,10:00,101,50
Wednesday,10:30,101,50
Wednesday,11:00,101,50
Wednesday,11:30,101,50
Wednesday,12:00,101,50
Wednesday,12:30,101,50
Wednesday,13:00,101,50
Wednesday,13:30,101,50
Wednesday,14:00,101,50
Wednesday,14:30,101,50
Wednesday,15:00,101,50
Wednesday,15:30,101,50
Wednesday,16:00,101,50
Wednesday,16:30,101,50
Wednesday,17:00,101,50
Wednesday,17:30,101,50
Wednesday,18:00,101,50
Wednesday,18:30,101,50
Wednesday,19:00,101,50
Wednesday,19:30,101,50
Wednesday,20:00,101,50
Wednesday,20:30,101,50
Wednesday,21:00,101,50
Wednesday,21:30,101,50
Thursday,07:00,101,50
Thursday,07:30,101,50
Thursday,08:00,101,50
Thursday,08:30,101,50
Thursday,09:00,101,50
Thursday,09:30,101,50
Thursday,10:00,101,50
Thursday,10:30,101,50
Thursday,11:00,101,50
Thursday,11:30,101,50
Thursday,12:00,101,50
Thursday,12:30,101,50
Thursday,13:00,101,50
Thursday,13:30,101,50
Thursday,14:00,101,50
Thursday,14:30,101,50
Thursday,15:00,101,50
Thursday,15:30,101,50
Thursday,16:00,101,50
Thursday,16:30,101,50
Thursday,17:00,101,50
Thursday,17:30,101,50
Thursday,18:00,101,50
Thursday,18:30,101,50
Thursday,19:00,101,50
Thursday,19:30,101,50
Thursday,20:00,101,50
Thursday,20:30,101,50
Thursday,21:00,101,50
Thursday,21:30,101,50
Friday,07:00,101,50
Friday,07:30,101,50
Friday,08:00,101,50
Friday,08:30,101,50
Friday,09:00,101,50
Friday,09:30,101,50
Friday,10:00,101,50
Friday,10:30,101,50
Friday,11:00,101,50
Friday,11:30,101,50
Friday,12:00,101,50
Friday,12:30,101,50
Friday,13:00,101,50
Friday,13:30,101,50
Friday,14:00,101,50
Friday,14:30,101,50
Friday,15:00,101,50
Friday,15:30,101,50
Friday,16:00,101,50
Friday,16:30,101,50
Friday,17:00,101,50
Friday,17:30,101,50
Friday,18:00,101,50
Friday,18:30,101,50
Friday,19:00,101,50
Friday,19:30,101,50
Friday,20:00,101,50
Friday,20:30,101,50
Friday,21:00,101,50
Friday,21:30,101,50
Saturday,07:00,101,50
Saturday,07:30,101,50
Saturday,08:00,101,50
Saturday,08:30,101,50
Saturday,09:00,101,50
Saturday,09:30,101,50
Saturday,10:00,101,50
Saturday,10:30,101,50
Saturday,11:00,101,50
Saturday,11:30,101,50
Saturday,12:00,101,50
Saturday,12:30,101,50
Saturday,13:00,101,50
Saturday,13:30,101,50
Saturday,14:00,101,50
Saturday,14:30,101,50
Saturday,15:00,101,50
Saturday,15:30,101,50
Saturday,16:00,101,50
Saturday,16:30,101,50
Saturday,17:00,101,50
Saturday,17:30,101,50
Saturday,18:00,101,50
Saturday,18:30,101,50
Saturday,19:00,101,50
Saturday,19:30,101,50
Saturday,20:00,101,50
Saturday,20:30,101,50
Saturday,21:00,101,50
Saturday,21:30,101,50
Monday,07:00,102,50
Monday,07:30,102,50
Monday,08:00,102,50
Monday,08:30,102,50
Monday,09:00,102,50
Monday,09:30,102,50
Monday,10:00,102,50
Monday,10:30,102,50
Monday,11:00,102,50
Monday,11:30,102,50
Monday,12:00,102,50
Monday,12:30,102,50
Monday,13:00,102,50
Monday,13:30,102,50
Monday,14:00,102,50
Monday,14:30,102,50
Monday,15:00,102,50
Monday,15:30,102,50
Monday,16:00,102,50
Monday,16:30,102,50
Monday,17:00,102,50
Monday,17:30,102,50
Monday,18:00,102,50
Monday,18:30,102,50
Monday,19:00,102,50
Monday,19:30,102,50
Monday,20:00,102,50
Monday,20:30,102,50
Monday,21:00,102,50
Monday,21:30,102,50
Tuesday,07:00,102,50
Tuesday,07:30,102,50
Tuesday,08:00,102,50
Tuesday,08:30,102,50
Tuesday,09:00,102,50
Tuesday,09:30,102,50
Tuesday,10:00,102,50
Tuesday,10:30,102,50
Tuesday,11:00,102,50
Tuesday,11:30,102,50
Tuesday,12:00,102,50
Tuesday,12:30,102,50
Tuesday,13:00,102,50
Tuesday,13:30,102,50
Tuesday,14:00,102,50
Tuesday,14:30,102,50
Tuesday,15:00,102,50
Tuesday,15:30,102,50
Tuesday,16:00,102,50
Tuesday,16:30,102,50
Tuesday,17:00,102,50
Tuesday,17:30,102,50
Tuesday,18:00,102,50
Tuesday,18:30,102,50
Tuesday,19:00,102,50
Tuesday,19:30,102,50
Tuesday,20:00,102,50
Tuesday,20:30,102,50
Tuesday,21:00,102,50
Tuesday,21:30,102,50
Wednesday,07:00,102,50
Wednesday,07:30,102,50
Wednesday,08:00,102,50
Wednesday,08:30,102,50
Wednesday,09:00,102,50
Wednesday,09:30,102,50
Wednesday,10:00,102,50
Wednesday,10:30,102,50
Wednesday,11:00,102,50
Wednesday,11:30,102,50
Wednesday,12:00,102,50
Wednesday,12:30,102,50
Wednesday,13:00,102,50
Wednesday,13:30,102,50
Wednesday,14:00,102,50
Wednesday,14:30,102,50
Wednesday,15:00,102,50
Wednesday,15:30,102,50
Wednesday,16:00,102,50
Wednesday,16:30,102,50
Wednesday,17:00,102,50
Wednesday,17:30,102,50
Wednesday,18:00,102,50
Wednesday,18:30,102,50
Wednesday,19:00,102,50
Wednesday,19:30,102,50
Wednesday,20:00,102,50
Wednesday,20:30,102,50
Wednesday,21:00,102,50
Wednesday,21:30,102,50
Thursday,07:00,102,50
Thursday,07:30,102,50
Thursday,08:00,102,50
Thursday,08:30,102,50
Thursday,09:00,102,50
Thursday,09:30,102,50
Thursday,10:00,102,50
Thursday,10:30,102,50
Thursday,11:00,102,50
Thursday,11:30,102,50
Thursday,12:00,102,50
Thursday,12:30,102,50
Thursday,13:00,102,50
Thursday,13:30,102,50
Thursday,14:00,102,50
Thursday,14:30,102,50
Thursday,15:00,102,50
Thursday,15:30,102,50
Thursday,16:00,102,50
Thursday,16:30,102,50
Thursday,17:00,102,50
Thursday,17:30,102,50
Thursday,18:00,102,50
Thursday,18:30,102,50
Thursday,19:00,102,50
Thursday,19:30,102,50
Thursday,20:00,102,50
Thursday,20:30,102,50
Thursday,21:00,102,50
Thursday,21:30,102,50
Friday,07:00,102,50
Friday,07:30,102,50
Friday,08:00,102,50
Friday,08:30,102,50
Friday,09:00,102,50
Friday,09:30,102,50
Friday,10:00,102,50
Friday,10:30,102,50
Friday,11:00,102,50
Friday,11:30,102,50
Friday,12:00,102,50
Friday,12:30,102,50
Friday,13:00,102,50
Friday,13:30,102,50
Friday,14:00,102,50
Friday,14:30,102,50
Friday,15:00,102,50
Friday,15:30,102,50
Friday,16:00,102,50
Friday,16:30,102,50
Friday,17:00,102,50
Friday,17:30,102,50
Friday,18:00,102,50
Friday,18:30,102,50
Friday,19:00,102,50
Friday,19:30,102,50
Friday,20:00,102,50
Friday,20:30,102,50
Friday,21:00,102,50
Friday,21:30,102,50
Saturday,07:00,102,50
Saturday,07:30,102,50
Saturday,08:00,102,50
Saturday,08:30,102,50
Saturday,09:00,102,50
Saturday,09:30,102,50
Saturday,10:00,102,50
Saturday,10:30,102,50
Saturday,11:00,102,50
Saturday,11:30,102,50
Saturday,12:00,102,50
Saturday,12:30,102,50
Saturday,13:00,102,50
Saturday,13:30,102,50
Saturday,14:00,102,50
Saturday,14:30,102,50
Saturday,15:00,102,50
Saturday,15:30,102,50
Saturday,16:00,102,50
Saturday,16:30,102,50
Saturday,17:00,102,50
Saturday,17:30,102,50
Saturday,18:00,102,50
Saturday,18:30,102,50
Saturday,19:00,102,50
Saturday,19:30,102,50
Saturday,20:00,102,50
Saturday,20:30,102,50
Saturday,21:00,102,50
Saturday,21:30,102,50
Monday,07:00,107,50
Monday,07:30,107,50
Monday,08:00,107,50
Monday,08:30,107,50
Monday,09:00,107,50
Monday,09:30,107,50
Monday,10:00,107,50
Monday,10:30,107,50
Monday,11:00,107,50
Monday,11:30,107,50
Monday,12:00,107,50
Monday,12:30,107,50
Monday,13:00,107,50
Monday,13:30,107,50
Monday,14:00,107,50
Monday,14:30,107,50
Monday,15:00,107,50
Monday,15:30,107,50
Monday,16:00,107,50
Monday,16:30,107,50
Monday,17:00,107,50
Monday,17:30,107,50
Monday,18:00,107,50
Monday,18:30,107,50
Monday,19:00,107,50
Monday,19:30,107,50
Monday,20:00,107,50
Monday,20:30,107,50
Monday,21:00,107,50
Monday,21:30,107,50
Tuesday,07:00,107,50
Tuesday,07:30,107,50
Tuesday,08:00,107,50
Tuesday,08:30,107,50
Tuesday,09:00,107,50
Tuesday,09:30,107,50
Tuesday,10:00,107,50
Tuesday,10:30,107,50
Tuesday,11:00,107,50
Tuesday,11:30,107,50
Tuesday,12:00,107,50
Tuesday,12:30,107,50
Tuesday,13:00,107,50
Tuesday,13:30,107,50
Tuesday,14:00,107,50
Tuesday,14:30,107,50
Tuesday,15:00,107,50
Tuesday,15:30,107,50
Tuesday,16:00,107,50
Tuesday,16:30,107,50
Tuesday,17:00,107,50
Tuesday,17:30,107,50
Tuesday,18:00,107,50
Tuesday,18:30,107,50
Tuesday,19:00,107,50
Tuesday,19:30,107,50
Tuesday,20:00,107,50
Tuesday,20:30,107,50
Tuesday,21:00,107,50
Tuesday,21:30,107,50
Wednesday,07:00,107,50
Wednesday,07:30,107,50
Wednesday,08:00,107,50
Wednesday,08:30,107,50
Wednesday,09:00,107,50
Wednesday,09:30,107,50
Wednesday,10:00,107,50
Wednesday,10:30,107,50
Wednesday,11:00,107,50
Wednesday,11:30,107,50
Wednesday,12:00,107,50
Wednesday,12:30,107,50
Wednesday,13:00,107,50
Wednesday,13:30,107,50
Wednesday,14:00,107,50
Wednesday,14:30,107,50
Wednesday,15:00,107,50
Wednesday,15:30,107,50
Wednesday,16:00,107,50
Wednesday,16:30,107,50
Wednesday,17:00,107,50
Wednesday,17:30,107,50
Wednesday,18:00,107,50
Wednesday,18:30,107,50
Wednesday,19:00,107,50
Wednesday,19:30,107,50
Wednesday,20:00,107,50
Wednesday,20:30,107,50
Wednesday,21:00,107,50
Wednesday,21:30,107,50
Thursday,07:00,107,50
Thursday,07:30,107,50
Thursday,08:00,107,50
Thursday,08:30,107,50
Thursday,09:00,107,50
Thursday,09:30,107,50
Thursday,10:00,107,50
Thursday,10:30,107,50
Thursday,11:00,107,50
Thursday,11:30,107,50
Thursday,12:00,107,50
Thursday,12:30,107,50
Thursday,13:00,107,50
Thursday,13:30,107,50
Thursday,14:00,107,50
Thursday,14:30,107,50
Thursday,15:00,107,50
Thursday,15:30,107,50
Thursday,16:00,107,50
Thursday,16:30,107,50
Thursday,17:00,107,50
Thursday,17:30,107,50
Thursday,18:00,107,50
Thursday,18:30,107,50
Thursday,19:00,107,50
Thursday,19:30,107,50
Thursday,20:00,107,50
Thursday,20:30,107,50
Thursday,21:00,107,50
Thursday,21:30,107,50
Friday,07:00,107,50
Friday,07:30,107,50
Friday,08:00,107,50
Friday,08:30,107,50
Friday,09:00,107,50
Friday,09:30,107,50
Friday,10:00,107,50
Friday,10:30,107,50
Friday,11:00,107,50
Friday,11:30,107,50
Friday,12:00,107,50
Friday,12:30,107,50
Friday,13:00,107,50
Friday,13:30,107,50
Friday,14:00,107,50
Friday,14:30,107,50
Friday,15:00,107,50
Friday,15:30,107,50
Friday,16:00,107,50
Friday,16:30,107,50
Friday,17:00,107,50
Friday,17:30,107,50
Friday,18:00,107,50
Friday,18:30,107,50
Friday,19:00,107,50
Friday,19:30,107,50
Friday,20:00,107,50
Friday,20:30,107,50
Friday,21:00,107,50
Friday,21:30,107,50
Saturday,07:00,107,50
Saturday,07:30,107,50
Saturday,08:00,107,50
Saturday,08:30,107,50
Saturday,09:00,107,50
Saturday,09:30,107,50
Saturday,10:00,107,50
Saturday,10:30,107,50
Saturday,11:00,107,50
Saturday,11:30,107,50
Saturday,12:00,107,50
Saturday,12:30,107,50
Saturday,13:00,107,50
Saturday,13:30,107,50
Saturday,14:00,107,50
Saturday,14:30,107,50
Saturday,15:00,107,50
Saturday,15:30,107,50
Saturday,16:00,107,50
Saturday,16:30,107,50
Saturday,17:00,107,50
Saturday,17:30,107,50
Saturday,18:00,107,50
Saturday,18:30,107,50
Saturday,19:00,107,50
Saturday,19:30,107,50
Saturday,20:00,107,50
Saturday,20:30,107,50
Saturday,21:00,107,50
Saturday,21:30,107,50
Monday,07:00,108,50
Monday,07:30,108,50
Monday,08:00,108,50
Monday,08:30,108,50
Monday,09:00,108,50
Monday,09:30,108,50
Monday,10:00,108,50
Monday,10:30,108,50
Monday,11:00,108,50
Monday,11:30,108,50
Monday,12:00,108,50
Monday,12:30,108,50
Monday,13:00,108,50
Monday,13:30,108,50
Monday,14:00,108,50
Monday,14:30,108,50
Monday,15:00,108,50
Monday,15:30,108,50
Monday,16:00,108,50
Monday,16:30,108,50
Monday,17:00,108,50
Monday,17:30,108,50
Monday,18:00,108,50
Monday,18:30,108,50
Monday,19:00,108,50
Monday,19:30,108,50
Monday,20:00,108,50
Monday,20:30,108,50
Monday,21:00,108,50
Monday,21:30,108,50
Tuesday,07:00,108,50
Tuesday,07:30,108,50
Tuesday,08:00,108,50
Tuesday,08:30,108,50
Tuesday,09:00,108,50
Tuesday,09:30,108,50
Tuesday,10:00,108,50
Tuesday,10:30,108,50
Tuesday,11:00,108,50
Tuesday,11:30,108,50
Tuesday,12:00,108,50
Tuesday,12:30,108,50
Tuesday,13:00,108,50
Tuesday,13:30,108,50
Tuesday,14:00,108,50
Tuesday,14:30,108,50
Tuesday,15:00,108,50
Tuesday,15:30,108,50
Tuesday,16:00,108,50
Tuesday,16:30,108,50
Tuesday,17:00,108,50
Tuesday,17:30,108,50
Tuesday,18:00,108,50
Tuesday,18:30,108,50
Tuesday,19:00,108,50
Tuesday,19:30,108,50
Tuesday,20:00,108,50
Tuesday,20:30,108,50
Tuesday,21:00,108,50
Tuesday,21:30,108,50
Wednesday,07:00,108,50
Wednesday,07:30,108,50
Wednesday,08:00,108,50
Wednesday,08:30,108,50
Wednesday,09:00,108,50
Wednesday,09:30,108,50
Wednesday,10:00,108,50
Wednesday,10:30,108,50
Wednesday,11:00,108,50
Wednesday,11:30,108,50
Wednesday,12:00,108,50
Wednesday,12:30,108,50
Wednesday,13:00,108,50
Wednesday,13:30,108,50
Wednesday,14:00,108,50
Wednesday,14:30,108,50
Wednesday,15:00,108,50
Wednesday,15:30,108,50
Wednesday,16:00,108,50
Wednesday,16:30,108,50
Wednesday,17:00,108,50
Wednesday,17:30,108,50
Wednesday,18:00,108,50
Wednesday,18:30,108,50
Wednesday,19:00,108,50
Wednesday,19:30,108,50
Wednesday,20:00,108,50
Wednesday,20:30,108,50
Wednesday,21:00,108,50
Wednesday,21:30,108,50
Thursday,07:00,108,50
Thursday,07:30,108,50
Thursday,08:00,108,50
Thursday,08:30,108,50
Thursday,09:00,108,50
Thursday,09:30,108,50
Thursday,10:00,108,50
Thursday,10:30,108,50
Thursday,11:00,108,50
Thursday,11:30,108,50
Thursday,12:00,108,50
Thursday,12:30,108,50
Thursday,13:00,108,50
Thursday,13:30,108,50
Thursday,14:00,108,50
Thursday,14:30,108,50
Thursday,15:00,108,50
Thursday,15:30,108,50
Thursday,16:00,108,50
Thursday,16:30,108,50
Thursday,17:00,108,50
Thursday,17:30,108,50
Thursday,18:00,108,50
Thursday,18:30,108,50
Thursday,19:00,108,50
Thursday,19:30,108,50
Thursday,20:00,108,50
Thursday,20:30,108,50
Thursday,21:00,108,50
Thursday,21:30,108,50
Friday,07:00,108,50
Friday,07:30,108,50
Friday,08:00,108,50
Friday,08:30,108,50
Friday,09:00,108,50
Friday,09:30,108,50
Friday,10:00,108,50
Friday,10:30,108,50
Friday,11:00,108,50
Friday,11:30,108,50
Friday,12:00,108,50
Friday,12:30,108,50
Friday,13:00,108,50
Friday,13:30,108,50
Friday,14:00,108,50
Friday,14:30,108,50
Friday,15:00,108,50
Friday,15:30,108,50
Friday,16:00,108,50
Friday,16:30,108,50
Friday,17:00,108,50
Friday,17:30,108,50
Friday,18:00,108,50
Friday,18:30,108,50
Friday,19:00,108,50
Friday,19:30,108,50
Friday,20:00,108,50
Friday,20:30,108,50
Friday,21:00,108,50
Friday,21:30,108,50
Saturday,07:00,108,50
Saturday,07:30,108,50
Saturday,08:00,108,50
Saturday,08:30,108,50
Saturday,09:00,108,50
Saturday,09:30,108,50
Saturday,10:00,108,50
Saturday,10:30,108,50
Saturday,11:00,108,50
Saturday,11:30,108,50
Saturday,12:00,108,50
Saturday,12:30,108,50
Saturday,13:00,108,50
Saturday,13:30,108,50
Saturday,14:00,108,50
Saturday,14:30,108,50
Saturday,15:00,108,50
Saturday,15:30,108,50
Saturday,16:00,108,50
Saturday,16:30,108,50
Saturday,17:00,108,50
Saturday,17:30,108,50
Saturday,18:00,108,50
Saturday,18:30,108,50
